L1	L2	species	specimen	oligoID	pmTm
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1127	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7B	HIT 2591	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1125	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium adolescentis	uncultured Bifidobacterium sp. 7G	HIT 1145	58
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1127	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1183	58.6
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 1185	59.7
Actinobacteria	Bifidobacterium	Bifidobacterium angulatum	Bifidobacterium angulatum	HIT 2591	57.5
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1129	55.5
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1130	57.3
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1131	59.6
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1132	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1133	61
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 1134	56.8
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5642	58.1
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5644	58.9
Actinobacteria	Bifidobacterium	Bifidobacterium animalis	Bifidobacterium animalis	HIT 5645	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1172	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium bifidum	HIT 1175	61.3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1172	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CB38	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1172	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Bifidobacterium sp. CS30	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured bacterium (human infant) D39Ebif	HIT 1175	61.3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	Uncultured bacterium clone Eldhufec086	HIT 1175	61.3
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1172	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium bifidum	uncultured Bifidobacterium sp. NS4E10	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1139	58.7
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium breve	uncultured bacterium (human infant) D5D	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium breve	uncultured bacterium (human infant) D5D	HIT 1167	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium breve	Uncultured bacterium clone Eldhufec084	HIT 1139	58.7
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1141	54.3
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1142	59.7
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1143	58.5
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	Bifidobacterium catenulatum	HIT 1145	58
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured bacterium cadhufec18e04	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured bacterium cadhufec18e04	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1123	53.2
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1124	56.5
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium catenulatum	uncultured Bifidobacterium sp. 9B	HIT 1145	58
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1147	56
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1148	60.6
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1149	57
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	Bifidobacterium dentium	HIT 1151	54.2
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1147	56
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1148	60.6
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1149	57
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N55G	HIT 1151	54.2
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1147	56
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1148	60.6
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1149	57
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium (human infant) N62C	HIT 1151	54.2
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium cadhufec19d06	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium dentium	uncultured bacterium cadhufec19d06	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1132	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1153	57.8
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1154	59.2
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1155	59.1
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1157	59.8
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 1158	59.8
Actinobacteria	Bifidobacterium	Bifidobacterium gallicum	Bifidobacterium gallicum	HIT 5644	58.9
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1136	60.1
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1139	58.7
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1166	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1167	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium infantis	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CJ75	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	Bifidobacterium sp. CS2	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1136	60.1
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1139	58.7
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1166	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1167	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured bacterium (human infant) D35A1	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium infantis	uncultured Bifidobacterium sp. NS2C2	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1136	60.1
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1166	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Bifidobacterium longum	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	butyrate-producing bacterium T1-817	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	butyrate-producing bacterium T1-817	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) L14D	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1172	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) N158-7	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6A	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1172	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium (human infant) S6C	HIT 1173	61.9
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium Adhufec027khh	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium longum	uncultured bacterium Adhufec027khh	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium longum	Uncultured bacterium clone Eldhufec087	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1163	58.3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	Bifidobacterium sp. CJ59	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L14B	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1163	58.3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) L157C	HIT 2618	59.5
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1126	56.6
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1128	59
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1135	60.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1160	61.2
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1161	62.9
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1163	58.3
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 1171	59.4
Actinobacteria	Bifidobacterium	Bifidobacterium pseudocatenulatum	uncultured bacterium (human infant) S7A	HIT 2618	59.5
